phase1_loss,phase1_val_loss,phase1_accuracy,phase1_val_accuracy
1.9929109811782837,1.9079301357269287,0.1487889289855957,0.13098236918449402
1.941921353340149,1.9216482639312744,0.15759672224521637,0.15113350749015808
1.921592116355896,1.9054957628250122,0.15728215873241425,0.17128463089466095
1.9103326797485352,1.8777036666870117,0.17772884666919708,0.20906801521778107
1.9024066925048828,1.9117441177368164,0.1714375615119934,0.17884130775928497
1.8904294967651367,1.869990348815918,0.16703365743160248,0.17632241547107697
1.8888962268829346,1.8814454078674316,0.18024535477161407,0.1536523997783661
1.8729379177093506,1.86124849319458,0.17961622774600983,0.20403023064136505
1.8672223091125488,1.810020923614502,0.18653663992881775,0.254408061504364
1.84956955909729,1.8255873918533325,0.1940861940383911,0.2166246920824051
1.8387136459350586,1.7848973274230957,0.1887385994195938,0.22670024633407593
1.828996181488037,1.8253674507141113,0.19282793998718262,0.20906801521778107
1.8358968496322632,1.7745052576065063,0.20257942378520966,0.2191435694694519
1.823453664779663,1.7932636737823486,0.20132116973400116,0.23425692319869995
1.8469443321228027,1.8477650880813599,0.19188423454761505,0.19647355377674103
